"LocationLabel";"Date";"Hour";"PrecipRADOLAN_mm"
"A";2021-01-01;0;1.3
"C";2021-01-01;0;3.47
"D";2021-01-01;0;0.3
"B";2021-01-01;0;1.3
"C";2021-01-01;1;0.29
"D";2021-01-01;1;0
"A";2021-01-01;1;1.77
"B";2021-01-01;1;0.66
"A";2021-01-01;2;0.69
"B";2021-01-01;2;0.25
"D";2021-01-01;2;0.6
"C";2021-01-01;2;0
"A";2021-01-01;3;0.3
"C";2021-01-01;3;0
"B";2021-01-01;3;0.12
"D";2021-01-01;3;0
"A";2021-01-01;4;0.62
"D";2021-01-01;4;0
"C";2021-01-01;4;0
"B";2021-01-01;4;0
"B";2021-01-01;5;0
"A";2021-01-01;5;0.97
"D";2021-01-01;5;0
"C";2021-01-01;5;0
"C";2021-01-01;6;0
"B";2021-01-01;6;0
"A";2021-01-01;6;0.2
"D";2021-01-01;6;0
"A";2021-01-01;7;0
"C";2021-01-01;7;0
"B";2021-01-01;7;0
"D";2021-01-01;7;0
"B";2021-01-01;8;0
"A";2021-01-01;8;0
"C";2021-01-01;8;0.01
"D";2021-01-01;8;0
"C";2021-01-01;9;0
"D";2021-01-01;9;0
"A";2021-01-01;9;0
"B";2021-01-01;9;0
"C";2021-01-01;10;0
"A";2021-01-01;10;0
"B";2021-01-01;10;0
"D";2021-01-01;10;0.18
"D";2021-01-01;11;0.2
"C";2021-01-01;11;0
"B";2021-01-01;11;0
"A";2021-01-01;11;0
"D";2021-01-01;12;0
"C";2021-01-01;12;0
"B";2021-01-01;12;0
"A";2021-01-01;12;0
"A";2021-01-01;13;0
"C";2021-01-01;13;0
"D";2021-01-01;13;0
"B";2021-01-01;13;0
"C";2021-01-01;14;0
"D";2021-01-01;14;0
"A";2021-01-01;14;0
"B";2021-01-01;14;0
"A";2021-01-01;15;0
"B";2021-01-01;15;0
"D";2021-01-01;15;0
"C";2021-01-01;15;0
"A";2021-01-01;16;0
"C";2021-01-01;16;0
"B";2021-01-01;16;0
"D";2021-01-01;16;0
"A";2021-01-01;17;0
"D";2021-01-01;17;0
"C";2021-01-01;17;0
"B";2021-01-01;17;0
"B";2021-01-01;18;0
"A";2021-01-01;18;0
"D";2021-01-01;18;0
"C";2021-01-01;18;0
"C";2021-01-01;19;0
"B";2021-01-01;19;0
"A";2021-01-01;19;0
"D";2021-01-01;19;0
"A";2021-01-01;20;0
"C";2021-01-01;20;0
"B";2021-01-01;20;0
"D";2021-01-01;20;0
"B";2021-01-01;21;0
"A";2021-01-01;21;0
"C";2021-01-01;21;0
"D";2021-01-01;21;0
"C";2021-01-01;22;0
"D";2021-01-01;22;0
"A";2021-01-01;22;0
"B";2021-01-01;22;0
"C";2021-01-01;23;0
"A";2021-01-01;23;0
"B";2021-01-01;23;0
"D";2021-01-01;23;0
